acc,epoch,loss,nfe,step
0.203125,0,0.8771895170211792,551.0,49
0.09375,0,0.7721589803695679,1327.0,99
0.21875,0,0.7296169400215149,2336.0,149
0.390625,1,0.7087841033935547,3598.0,199
0.390625,1,0.6962451934814453,5123.0,249
0.390625,1,0.6899462938308716,6936.0,299
0.359375,2,0.6934323310852051,9027.0,349
0.71875,2,0.660365104675293,11266.0,399
0.734375,2,0.5644530057907104,13516.0,449
0.796875,3,0.4805907607078552,15766.0,499
0.671875,3,0.6252497434616089,18016.0,549
0.46875,3,0.946458637714386,20266.0,599
0.796875,4,0.5011290311813354,22516.0,649
0.8125,4,0.4499957859516144,24766.0,699
0.78125,4,0.5500068068504333,27016.0,749
