acc,epoch,loss,nfe,step
0.046875,0,0.853140652179718,561.0,49
0.25,0,0.7455986142158508,1395.0,99
0.4375,0,0.6997115612030029,2472.0,149
0.515625,1,0.6763681769371033,3785.0,199
0.453125,1,0.6760841608047485,5356.0,249
0.484375,1,0.668728232383728,7205.0,299
0.453125,2,0.6693823933601379,9320.0,349
0.640625,2,0.6479495167732239,11564.0,399
0.84375,2,0.4733540117740631,13814.0,449
0.78125,3,0.5415492057800293,16064.0,499
0.65625,3,0.6869267225265503,18314.0,549
0.765625,3,0.5919747948646545,20564.0,599
0.84375,4,0.5105404257774353,22814.0,649
0.78125,4,0.5563516020774841,25064.0,699
0.71875,4,0.5943415760993958,27314.0,749
