acc,epoch,loss,nfe,step
0.140625,0,0.8189394474029541,552.0,49
0.234375,0,0.7331641912460327,1405.0,99
0.21875,0,0.7184075713157654,2499.0,149
0.390625,1,0.6932314038276672,3843.0,199
0.4375,1,0.6868981719017029,5457.0,249
0.421875,1,0.6911833882331848,7360.0,299
0.5,2,0.6823065280914307,9509.0,349
0.859375,2,0.6260243654251099,11759.0,399
0.75,2,0.5381135940551758,14009.0,449
0.734375,3,0.4875165820121765,16259.0,499
0.75,3,0.6720902919769287,18509.0,549
0.5625,3,0.7582510709762573,20759.0,599
0.875,4,0.42122143507003784,23009.0,649
0.75,4,1.155447006225586,25259.0,699
0.734375,4,0.660296618938446,27509.0,749
