epoch,loss,step
0,0.8297684192657471,49
0,0.7402072548866272,99
0,0.7006648778915405,149
1,0.6878970265388489,199
1,0.6912780404090881,249
1,0.6865466833114624,299
2,0.6590719819068909,349
2,0.5180662870407104,399
2,0.49771973490715027,449
3,0.5830346345901489,499
3,0.7635821104049683,549
3,0.6523170471191406,599
4,0.9156545400619507,649
4,0.554919421672821,699
4,1.2574443817138672,749
5,0.7733957171440125,799
5,0.5650930404663086,849
5,0.8882964253425598,899
6,0.505382239818573,949
6,0.4762648046016693,999
6,0.4280506372451782,1049
7,0.3879062235355377,1099
7,0.3152821958065033,1149
7,0.4004519581794739,1199
7,0.2620268166065216,1249
8,0.33764150738716125,1299
8,0.3563612401485443,1349
8,0.35573431849479675,1399
9,0.369253933429718,1449
9,0.37438762187957764,1499
9,0.22012346982955933,1549
10,0.22816307842731476,1599
10,0.295983225107193,1649
10,0.2104247510433197,1699
11,0.34019994735717773,1749
11,0.2745424211025238,1799
11,0.22239738702774048,1849
12,0.3935982882976532,1899
12,0.38126492500305176,1949
12,0.3611094355583191,1999
13,0.3062156140804291,2049
13,0.329787015914917,2099
13,0.3343549966812134,2149
14,0.33905255794525146,2199
14,0.40036913752555847,2249
14,0.4340311586856842,2299
14,0.2729712724685669,2349
15,0.2849592864513397,2399
15,0.3773114085197449,2449
15,0.2646329402923584,2499
16,0.3425123989582062,2549
16,0.2550695836544037,2599
16,0.3383285403251648,2649
17,0.24394463002681732,2699
17,0.3485410511493683,2749
17,0.38801440596580505,2799
18,0.28848913311958313,2849
18,0.27653685212135315,2899
18,0.28329914808273315,2949
19,0.34093141555786133,2999
19,0.29953455924987793,3049
19,0.3599570691585541,3099
