acc,epoch,loss,nfe,step
0.140625,0,0.8007943630218506,1778.0,49
0.15625,0,0.7517526149749756,3770.0,99
0.421875,0,0.7039294838905334,5870.0,149
0.46875,1,0.6830779910087585,8186.0,199
0.65625,1,0.614325761795044,10892.0,249
0.671875,1,0.5650889277458191,13598.0,299
0.75,2,0.45130735635757446,16082.0,349
0.75,2,0.39848482608795166,19250.0,399
0.890625,2,0.21838508546352386,22622.0,449
1.0,3,0.04347210004925728,26714.0,499
1.0,3,0.0435396283864975,31250.0,549
1.0,3,0.012172402814030647,35816.0,599
1.0,4,0.010180853307247162,40460.0,649
1.0,4,0.007320455275475979,45374.0,699
1.0,4,0.006368397735059261,50684.0,749
1.0,5,0.004158043768256903,56114.0,799
1.0,5,0.003645065939053893,61568.0,849
1.0,5,0.004126861225813627,67010.0,899
1.0,6,0.005115579813718796,72494.0,949
1.0,6,0.0017468465957790613,77984.0,999
